exchangeId,name,rank,percentTotalVolume,volumeUsd,tradingPairs,socket,exchangeUrl,updated
binance,Binance,1,10.523204537805000314,11288130474.373156,1016,False,https://binance.com,1772467131436
websea,Websea,2,3.950136249445777015,4237269475.7671,83,False,https://www.websea.com,1772467119246
azbit,Azbit,3,3.797237516761617471,4073256618.4949074,182,False,https://azbit.com,1772467144025
pionex,Pionex,4,3.718765013107730333,3989079991.811134,279,False,https://pionex.com,1772467138174
biconomy,Biconomy,5,3.588568597730310117,3849419670.7752604,526,False,https://biconomy.com,1772467141717
coinstore,Coinstore,6,3.329542521152998980,3571565131.4887376,169,False,https://api.coinstore.com/api/v1/market/tickers,1772467140811
coinw,Coinw,7,3.259444354980697955,3496371568.2614393,272,False,https://coinw.com,1772467145138
bitrue,Bitrue,8,3.173274449869451175,3403938020.251833,515,False,https://bitrue.com,1772467143603
bitmart,Bitmart,9,3.095596677359910842,3320613893.281166,447,False,https://bitmart.com,1772467136775
lbank,Lbank,10,3.000951677442573295,3219089200.4962063,411,False,https://lbank.info,1772467138061
mexc,Mexc,11,2.972997954317980529,3189103536.6481557,898,False,https://mexc.com,1772467145607
kucoin,Kucoin,12,2.493236581924701767,2674468574.5808606,667,False,https://kucoin.com,1772467134621
gate,Gate,13,2.316445440066811301,2484826582.0836263,850,False,https://gate.io,1772467147517
xt,Xt,14,2.299349696561211243,2466488158.4072313,591,False,https://xt.com,1772467144020
bybit,Bybit,15,2.288630410083504430,2454989692.904842,365,False,https://bybit.com,1772467119481
crypto,Crypto,16,2.187074440204387571,2346051675.561496,429,False,https://crypto.com,1772467146306
grovex,Grovex,17,2.181244625927223346,2339798095.2984138,303,False,https://openapi.grovex.io/pub/tickers,1772467119250
orangex,Orangex,18,2.179447464423800884,2337870299.1160555,223,False,https://www.orangex.com,1772467140949
coinbase,Coinbase,19,2.044509734931840406,2193124020.4564714,297,False,https://coinbase.com,1772467147582
toobit,Toobit,20,2.022084962026010402,2169069203.170558,300,False,https://www.toobit.com,1772467136403
okx,Okx,21,2.012055302512782973,2158310493.236515,664,False,https://okx.com,1772467135786
bullish,Bullish,22,2.002596055689541910,2148163658.9764333,125,False,https://exchange.bullish.com,1772467143891
hotcoinm,Hotcoinm,23,1.797039581919834816,1927665398.4486084,240,False,https://hotcoinm.com,1772467145307
digifinex,Digifinex,24,1.755307374018482136,1882899699.3612473,385,False,https://digifinex.com,1772467126065
btse,Btse,25,1.646264650985610256,1765930720.9047341,534,False,https://btse.com,1772467137695
indoex,Indoex,26,1.567444375447801796,1681381042.9905183,91,False,https://indoex.io,1772467146325
whitebit,Whitebit,27,1.391575256798960325,1492728095.0611012,597,False,https://whitebit.com,1772467143711
bitmax,Bitmax,28,1.305702864342197511,1400613685.7368188,266,False,https://bitmax.io,1772467123257
upbit,Upbit,29,1.296185198672763494,1390404186.19682,426,False,https://upbit.com,1772467144428
famex,Famex,30,1.227866745616808641,1317119702.4511666,68,False,https://fameex.com,1772467147021
p2b,P2b,31,1.195174567171401137,1282051147.5772703,87,False,https://p2pb2b.com,1772467118163
bitget,Bitget,32,1.114337896805913664,1195338504.20696,439,False,https://bitget.com,1772467125553
bingx,Bingx,33,1.013694934119723445,1087379860.046067,468,False,https://bingx.com,1772467133576
poloniex,Poloniex,34,0.996723202741191749,1069174462.8698909,162,False,https://www.poloniex.com,1772467124585
koinbay,Koinbay,35,0.989466571324835176,1061390350.9163513,279,False,https://koinbay.com,1772467147875
coinlocally,Coinlocally,36,0.979139494347645911,1050312604.406853,127,False,https://coinlocally.com,1772467123611
zke,Zke,37,0.928774557112480359,996286667.649498,246,False,https://zke.com,1772467143802
kraken,Kraken,38,0.884909294568878235,949232863.353863,833,False,https://kraken.com,1772467141170
htx,Htx,39,0.717328784367936234,769471018.2510374,197,False,https://htx.com,1772467126217
cryptomus,Cryptomus,40,0.646624754648723488,693627551.5896065,105,False,https://cryptomus.com,1772467146347
phemex,Phemex,41,0.639932522679862559,686448864.9682564,365,False,https://www.phemex.com,1772467123032
niza,Niza,42,0.633004472319434686,679017218.4464593,258,False,https://niza.io,1772467122540
bitstamp,Bitstamp,43,0.593405392741762405,636539703.6046648,192,False,https://bitstamp.net,1772467120154
bigone,Bigone,44,0.544034053871971124,583579589.3301073,142,False,https://big.one,1772467132458
bithumb,Bithumb,45,0.523652128036259823,561716112.5416483,323,False,https://bithumb.com,1772467147208
Uniswap V3_1,Uniswap V3,46,0.504665292439396840,541349134.3324071,122,False,https://uniswap.org,1772466749140
jucoin,Jucoin,47,0.472801845437441359,507169550.9337201,141,False,https://jucoin.com,1772467132794
bitfinex,Bitfinex,48,0.458295879724932187,491609154.57049006,63,False,https://bitfinex.com,1772467118555
blofin,Blofin,49,0.453715142603003996,486695446.19246066,323,False,https://blofin.com,1772467147602
Pancakeswap V3 (BSC)_56,Pancakeswap V3 (BSC),50,0.431036279259623178,462368068.77516675,118,False,https://uniswap.org,1772466938269
trubit,Trubit,51,0.360217068157479614,386401048.25957775,55,False,https://www.trubit.com,1772467141945
bitvavo,Bitvavo,52,0.359003473408639862,385099237.9774814,322,False,https://bitvavo.com,1772467145387
latoken,Latoken,53,0.304981313268047505,327150236.79787636,82,False,https://latoken.com,1772467139016
Orca (Solana),Orca (Solana),54,0.267125848218278339,286543078.8627898,32,False,https://orca.so,1772467097945
deepcoin,Deepcoin,55,0.261372491132452034,280371513.4221343,137,False,https://deepcoin.com,1772467125823
yobit,Yobit,56,0.179402569315229715,192443243.17680702,188,False,https://yobit.net,1772467143189
bitspay,Bitspay,57,0.178686907397641481,191675560.188963,57,False,https://www.bitspay.io,1772467132670
coinone,Coinone,58,0.178014149428624424,190953899.81405947,243,False,https://coinone.co.kr,1772467137516
dextrade,Dextrade,59,0.176235167549881361,189045604.72327662,162,False,https://dex-trade.com,1772467145555
hyperliquid,Hyperliquid,60,0.170918581217371413,183342558.66121083,19,False,https://hyperliquid.xyz,1772467119594
Aerodrome SlipStream_8453,Aerodrome SlipStream,61,0.151513258084991859,162526673.28820235,26,False,https://uniswap.org,1772467024340
qmall,Qmall,62,0.141011778082328787,151261846.49345416,85,False,https://api.qmall.io/api/v1/public/tickers,1772467143607
